title,link,snippet
SDSCNN: A Hybrid Model Integrating Static and Dynamic Spatial Correlation Neural Network for Traffic Prediction,https://ieeexplore.ieee.org/abstract/document/9953093/,"Traffic flow prediction is of great significance for traffic control, and it has been challenging for capturing the complex spatial-temporal correlation. However, most existing prediction …"
Improved Graph Neural Network With Graph Filtering Kernel and Generalized Nonconvex Norm Inspired by a Novel Unified Optimization Framework,https://link.springer.com/article/10.1007/s00034-024-02877-x,Graph neural network (GNN) is a powerful tool which has been achieving significant success via the prominent representation learning on the graph-structured data. However …
UMOD: A Novel and Effective Urban Metro Origin-Destination Flow Prediction Method,https://arxiv.org/abs/2409.04942,Accurate prediction of metro Origin-Destination (OD) flow is essential for the development of intelligent transportation systems and effective urban traffic management. Existing …
Informed Graph Learning By Domain Knowledge Injection and Smooth Graph Signal Representation,https://arxiv.org/abs/2406.03898,"Graph signal processing represents an important advancement in the field of data analysis, extending conventional signal processing methodologies to complex networks and thereby …"
DST-GTN: Dynamic Spatio-Temporal Graph Transformer Network for Traffic Forecasting,https://arxiv.org/abs/2404.11996,Accurate traffic forecasting is essential for effective urban planning and congestion management. Deep learning (DL) approaches have gained colossal success in traffic …
"Tracking the spatial dynamics of the synthetic opioid crisis in the USA, 2013-2020 using human mobility-based graph neural network",https://arxiv.org/abs/2409.09945,"Synthetic opioids are the most common drugs involved in drug-involved overdose mortalities in the US The Center for Disease Control and Prevention reported that in 2018, about 70 …"
Effective vaccination strategy using graph neural network ansatz,https://arxiv.org/abs/2111.00920,"The effectiveness of vaccination highly depends on the choice of individuals to vaccinate, even if the same number of individuals are vaccinated. Vaccinating individuals with high …"
A node graph using SEM images for material properties prediction with a case study of composite material,https://iopscience.iop.org/article/10.1088/1402-4896/ad385b/meta,Establishing a mapping model between the microstructure and material properties of composite materials is crucial for material development. Scanning electron microscope …
Time series reconstruction and classification: a comprehensive comparative study,https://link.springer.com/article/10.1007/s10489-021-02926-x,"Time series approximation techniques can provide approximate results for the data in another new space by dimensionality reduction or feature extraction. In this study, we …"
Influence Propagation for Linear Threshold Model with Graph Neural Networks,https://ieeexplore.ieee.org/abstract/document/10411581/,"Influence propagation is a network phenomenon governing how information is diffused in a network. With the advent of deep learning, there has been growing interest in applying …"
Enhanced edge convolution-based spatial-temporal network for network traffic prediction,https://link.springer.com/article/10.1007/s10489-023-04626-0,"Accurately predicting network traffic is helpful for improving a variety of spatial-temporal data mining applications, such as intelligent traffic control, network planning and anomaly …"
SUSTeR: Sparse Unstructured Spatio Temporal Reconstruction on Traffic Prediction,https://dl.acm.org/doi/abs/10.1145/3589132.3625631,"Mining spatio-temporal correlation patterns for traffic prediction is a well-studied field. However, most approaches are based on the assumption of the availability of and …"
A traffic flow forecasting model using graph convolutional recurrent neural networks with incomplete data,https://ieeexplore.ieee.org/abstract/document/10422643/,"Traffic flow prediction is a fundamental problem for urban traffic control and management. In practice, incomplete data is a common challenge due to sparse sensor deployment, data …"
